内径,線径
24.00 ,0.70 
24.00 ,0.75 
24.00 ,0.80 
24.00 ,1.15 
24.00 ,1.50 
24.00 ,2.00 
24.00 ,2.10 
24.00 ,2.50 
24.00 ,3.00 
24.00 ,3.53 
24.00 ,4.00 
24.20 ,3.00 
24.31 ,0.91 
24.40 ,0.40 
24.40 ,0.75 
24.40 ,3.10 
24.43 ,1.60 
24.50 ,0.50 
24.50 ,0.60 
24.50 ,0.80 
24.50 ,2.00 
24.50 ,2.50 
24.50 ,3.00 
24.60 ,0.70 
24.60 ,2.40 
24.60 ,3.30 
24.60 ,3.60 
24.70 ,1.90 
24.70 ,2.40 
24.70 ,3.50 
24.77 ,5.33 
24.77 ,6.99 
24.80 ,0.60 
24.90 ,0.70 
24.99 ,1.27 
24.99 ,3.53 
25.00 ,0.40 
25.00 ,0.50 
25.00 ,0.60 
25.00 ,0.75 
25.00 ,0.80 
25.10 ,0.90 
25.10 ,1.60 
25.12 ,1.78 
25.12 ,2.03 
25.12 ,2.16 
25.20 ,3.50 
25.30 ,0.60 
25.30 ,2.40 
25.40 ,3.18 
25.50 ,0.40 
25.50 ,0.50 
25.50 ,0.60 
25.50 ,0.80 
25.50 ,0.85 
25.50 ,1.00 
25.50 ,1.50 
25.50 ,2.00 
25.60 ,0.53 
25.60 ,3.30 
25.70 ,0.60 
25.70 ,0.63 
25.70 ,0.70 
25.70 ,0.90 
25.70 ,3.50 
25.70 ,4.10 
25.80 ,2.65 
25.91 ,0.61 
26.00 ,0.30 
26.00 ,0.40 
26.00 ,0.50 
26.00 ,0.60 
26.00 ,0.70 
26.00 ,0.75 
26.00 ,0.80 
26.00 ,1.00 
26.00 ,1.50 
26.00 ,2.00 
26.00 ,2.50 
26.00 ,3.00 
26.00 ,3.20 
26.00 ,4.00 
26.20 ,0.70 
26.20 ,1.90 
26.20 ,2.40 
26.20 ,3.00 
26.60 ,0.70 
26.60 ,0.75 
26.60 ,0.80 
26.64 ,2.62 
26.65 ,2.62 
26.70 ,1.78 
26.70 ,3.40 
26.70 ,3.50 
26.80 ,0.40 
26.80 ,0.41 
26.80 ,0.70 
26.80 ,0.75 
26.80 ,0.80 
26.90 ,0.40 
27.00 ,0.40 
27.00 ,0.50 
27.00 ,0.60 
27.00 ,0.70 
27.00 ,0.75 
27.00 ,0.80 
27.00 ,1.50 
27.00 ,2.00 
27.00 ,2.50 
27.00 ,3.00 
27.00 ,3.20 
27.00 ,3.50 
27.00 ,4.00 
27.00 ,6.00 
27.10 ,0.80 
27.10 ,0.90 
27.10 ,1.60 
27.20 ,0.75 
27.30 ,0.50 
27.30 ,0.60 
27.30 ,0.70 
27.30 ,2.40 
27.30 ,2.70 
27.30 ,3.20 
27.40 ,0.40 
27.40 ,0.75 
27.40 ,0.90 
27.40 ,2.50 
27.40 ,3.10 
27.50 ,0.50 
27.50 ,0.60 
27.70 ,2.40 
27.70 ,3.50 
27.80 ,0.40 
27.80 ,0.50 
27.80 ,0.70 
27.80 ,0.80 
27.80 ,1.50 
27.80 ,3.20 
27.80 ,3.53 
27.80 ,3.60 
27.81 ,0.41 
27.90 ,0.75 
27.94 ,5.33 
28.00 ,0.40 
28.00 ,0.50 
28.00 ,0.60 
28.00 ,0.70 
28.00 ,0.75 
28.00 ,0.80 
28.00 ,0.85 
28.00 ,0.86 
28.00 ,1.00 
28.00 ,2.00 
28.00 ,2.50 
28.00 ,2.65 
28.00 ,3.00 
28.00 ,4.00 
28.00 ,4.20 
28.00 ,4.30 
28.00 ,5.00 
28.00 ,7.00 
28.09 ,0.61 
28.09 ,1.19 
28.10 ,0.60 
28.17 ,3.53 
28.20 ,0.50 
28.20 ,0.70 
28.20 ,0.75 
28.20 ,0.90 
28.20 ,1.00 
28.20 ,2.62 
28.24 ,2.62 
28.25 ,0.75 
28.25 ,1.00 
28.25 ,2.62 
28.50 ,1.00 
28.50 ,2.00 
28.50 ,3.60 
28.55 ,0.55 
28.56 ,0.56 
28.60 ,0.60 
28.60 ,0.90 
28.68 ,0.63 
28.70 ,0.60 
28.70 ,1.17 
28.70 ,2.40 
28.70 ,3.50 
28.80 ,0.50 
28.80 ,0.70 
28.80 ,0.75 
28.80 ,0.80 
28.80 ,0.85 
28.90 ,0.60 
28.90 ,0.90 
29.00 ,0.40 
29.00 ,0.50 
29.00 ,0.60 
29.00 ,0.70 
29.00 ,0.80 
29.00 ,1.00 
29.00 ,1.50 
29.00 ,2.00 
29.00 ,2.50 
29.00 ,3.00 
29.00 ,3.15 
29.00 ,5.00 
29.10 ,0.75 
29.10 ,1.60 
29.10 ,2.55 
29.10 ,2.69 
29.11 ,0.64 
29.15 ,0.60 
29.15 ,0.80 
29.20 ,0.56 
29.20 ,0.70 
29.20 ,3.00 
29.20 ,3.50 
29.30 ,0.60 
29.30 ,0.75 
29.30 ,0.80 
29.50 ,3.80 
